Rank Name Score Finish Time Q1 (4) Q2 (6) Q3 (7) Q4 (10)
114|xn1990114|13|1:35:08|-1|-1|1:02:20|3|1:20:08|0|-1|-1|
115|rohansumant|13|1:35:26|-1|-1|0:42:37|2|1:25:26|0|-1|-1|
116|Lemon-T|13|1:42:29|-1|-1|0:52:42|7|1:07:29|0|-1|-1|
117|lakeshore1986|13|1:42:54|-1|-1|0:53:43|3|1:22:54|1|-1|-1|
118|zhanghaoyu|13|2:23:15|-1|-1|0:41:49|12|1:13:15|2|-1|-1|
119|A_Pinterest_Employee|11|0:42:15|0:17:52|0|-1|-1|0:37:15|1|-1|-1|
120|changhai|11|0:42:16|0:16:41|1|-1|-1|0:37:16|0|-1|-1|
121|zhengyizhou|11|0:45:10|0:13:55|1|-1|-1|0:35:10|1|-1|-1|
122|XingxingHuang|11|0:49:07|0:22:10|1|-1|-1|0:44:07|0|-1|-1|
123|Fliu777|11|1:10:13|0:23:26|1|-1|-1|0:55:13|2|-1|-1|
124|tyuan73|11|1:16:59|0:27:36|2|-1|-1|1:06:59|0|-1|-1|
125|ZifengWang|11|1:21:23|0:26:57|2|-1|-1|1:06:23|1|-1|-1|
126|zhang.z|11|1:24:49|0:30:25|0|-1|-1|1:24:49|0|-1|-1|
127|tangx345|11|1:32:44|0:49:17|2|-1|-1|1:17:44|1|-1|-1|
128|tuin|11|1:34:27|0:21:36|2|-1|-1|1:09:27|3|-1|-1|
129|zhengyudennis|11|1:37:31|0:46:19|3|-1|-1|1:22:31|0|-1|-1|
130|netonion|11|1:42:46|0:53:24|3|-1|-1|1:27:46|0|-1|-1|
131|ralf_tianyi|11|1:45:12|1:15:12|5|-1|-1|0:55:47|1|-1|-1|
132|Mr.Luo|11|1:48:00|0:52:02|7|-1|-1|1:08:00|1|-1|-1|
133|dimlight1998|10|0:35:47|0:20:20|0|0:35:47|0|-1|-1|-1|-1|
134|thecamelyouknow|10|0:37:49|0:17:34|0|0:37:49|0|-1|-1|-1|-1|
135|yzheng2364|10|0:48:20|0:13:22|0|0:43:20|1|-1|-1|-1|-1|
136|AgCl|10|0:48:23|0:20:08|1|0:38:23|1|-1|-1|-1|-1|
137|mlz000|10|0:49:46|0:15:10|0|0:44:46|1|-1|-1|-1|-1|
138|kupe|10|0:51:26|0:21:31|1|0:46:26|0|-1|-1|-1|-1|
139|XiangweiTang|10|0:52:29|0:20:31|0|0:52:29|0|-1|-1|-1|-1|
140|qianlizimu|10|0:53:55|0:28:40|1|0:48:55|0|-1|-1|-1|-1|
141|yumichael|10|0:55:29|0:16:30|3|0:30:29|2|-1|-1|-1|-1|
142|DhunterAO|10|0:57:12|0:12:07|1|0:42:12|2|-1|-1|-1|-1|
143|darwinTC|10|0:59:39|0:25:29|1|0:49:39|1|-1|-1|-1|-1|
144|cygnus|10|1:02:23|0:15:14|1|0:52:23|1|-1|-1|-1|-1|
145|FredZSF|10|1:04:36|0:20:40|1|0:59:36|0|-1|-1|-1|-1|
146|hanwang|10|1:06:43|0:36:17|0|0:56:43|2|-1|-1|-1|-1|
147|protocols1919|10|1:07:39|0:27:09|1|0:57:39|1|-1|-1|-1|-1|
148|frostfrog|10|1:07:46|0:57:46|0|0:34:59|2|-1|-1|-1|-1|
149|czq92|10|1:08:14|0:25:18|0|0:58:14|2|-1|-1|-1|-1|
150|flowmemo|10|1:11:35|0:41:31|1|1:01:35|1|-1|-1|-1|-1|
151|imlideyi|10|1:13:22|1:03:22|1|0:37:11|1|-1|-1|-1|-1|
152|guzh870423|10|1:14:15|1:04:15|1|0:32:23|1|-1|-1|-1|-1|
153|casesensiti|10|1:15:14|0:55:14|0|0:44:13|4|-1|-1|-1|-1|
154|yanliang|10|1:15:14|0:30:25|0|1:05:14|2|-1|-1|-1|-1|
155|Happy-zyy|10|1:15:34|0:45:25|1|1:10:34|0|-1|-1|-1|-1|
156|dark1412myj|10|1:16:00|0:24:24|0|1:06:00|2|-1|-1|-1|-1|
157|lilidavid|10|1:17:42|0:22:53|0|1:17:42|0|-1|-1|-1|-1|
158|tomerry|10|1:18:43|0:40:21|1|1:13:43|0|-1|-1|-1|-1|
159|nearSGB|10|1:18:58|0:39:52|0|1:03:58|3|-1|-1|-1|-1|
160|SamZhou19815|10|1:19:18|0:34:30|2|1:04:18|1|-1|-1|-1|-1|
161|mdx|10|1:19:24|0:48:25|2|1:09:24|0|-1|-1|-1|-1|
162|Bingran_Li|10|1:20:30|0:28:10|0|1:10:30|2|-1|-1|-1|-1|
163|YuanyangLi|10|1:20:41|0:42:13|4|0:55:41|1|-1|-1|-1|-1|
164|yangxu1882|10|1:21:22|0:25:55|0|1:06:22|3|-1|-1|-1|-1|
165|Eden_|10|1:22:25|1:02:25|1|0:44:18|3|-1|-1|-1|-1|
166|sg060723|10|1:23:46|0:31:58|3|1:08:46|0|-1|-1|-1|-1|
167|sure4love|10|1:24:06|0:40:55|2|1:09:06|1|-1|-1|-1|-1|
168|uchihakalyan|10|1:24:17|0:37:07|0|1:19:17|1|-1|-1|-1|-1|
169|jinsheng|10|1:24:48|0:26:31|1|1:09:48|2|-1|-1|-1|-1|
170|Spin0za|10|1:25:08|1:20:08|1|0:50:55|0|-1|-1|-1|-1|
171|katryo|10|1:25:50|0:54:36|2|1:15:50|0|-1|-1|-1|-1|
172|TianqiTang|10|1:27:33|0:19:08|0|1:17:33|2|-1|-1|-1|-1|
173|TimmyHo|10|1:27:45|0:41:16|1|1:12:45|2|-1|-1|-1|-1|
174|grantnzm|10|1:28:11|0:58:10|1|1:18:11|1|-1|-1|-1|-1|
175|getselevich|10|1:28:21|0:43:18|2|1:13:21|1|-1|-1|-1|-1|
176|tinooo|10|1:28:26|0:35:46|0|1:18:26|2|-1|-1|-1|-1|
177|sowfelicity|10|1:28:52|0:49:43|0|1:23:52|1|-1|-1|-1|-1|
178|daren|10|1:28:53|1:13:53|1|0:38:13|2|-1|-1|-1|-1|
179|xuan18|10|1:29:25|1:24:25|1|0:27:35|0|-1|-1|-1|-1|
180|iamshu|10|1:30:49|0:28:37|2|1:10:49|2|-1|-1|-1|-1|
181|18811445343|10|1:30:57|0:39:25|2|1:15:57|1|-1|-1|-1|-1|
182|vitorvgc|10|1:31:11|1:21:11|0|0:42:33|2|-1|-1|-1|-1|
