Rank Name Score Finish Time Q1 (3) Q2 (4) Q3 (5) Q4 (6)
152|stefmarie|18|0:49:36|0:01:19|0|0:07:05|0|0:23:57|0|0:49:36|0|
153|maxcruickshanks|18|0:49:37|0:00:47|0|0:04:58|0|0:14:30|1|0:44:37|0|
154|ding-fei-5|18|0:49:43|0:01:38|0|0:13:51|0|0:19:38|0|0:44:43|1|
155|AlwaysDan|18|0:49:43|0:01:42|0|0:08:51|1|0:19:34|0|0:44:43|0|
156|elshan22|18|0:49:50|0:01:58|0|0:38:43|1|0:18:15|0|0:44:50|0|
157|rauschaj|18|0:49:57|0:01:11|0|0:06:53|0|0:14:04|0|0:49:57|0|
158|TushaarDTU|18|0:50:12|0:50:12|0|0:48:35|0|0:43:06|0|0:42:58|0|
159|binacslee-cn|18|0:50:19|0:01:21|0|0:12:47|0|0:27:09|0|0:45:19|1|
160|di-shou|18|0:50:24|0:01:26|0|0:14:37|0|0:26:53|1|0:45:24|0|
161|ml_terminator|18|0:50:25|0:15:23|0|0:20:16|0|0:50:25|0|0:13:25|0|
162|linxiaotian|18|0:50:32|0:01:33|0|0:09:07|0|0:29:03|0|0:50:32|0|
163|tyagsa|18|0:50:32|0:01:14|0|0:05:26|0|0:20:35|0|0:45:32|1|
164|CoolManGame|18|0:50:37|0:02:19|0|0:09:04|0|0:19:57|0|0:45:37|1|
165|sweet-villanijaz|18|0:50:40|0:01:06|0|0:03:32|0|0:09:29|0|0:50:40|0|
166|newhar|18|0:50:48|0:03:24|0|0:09:21|0|0:14:59|0|0:50:48|0|
167|Decision|18|0:51:00|0:51:00|0|0:48:51|0|0:41:06|0|0:31:26|0|
168|lin-jpg|18|0:51:07|0:02:06|0|0:17:10|0|0:29:21|0|0:51:07|0|
169|Axurez|18|0:51:09|0:01:41|0|0:21:47|0|0:12:27|0|0:51:09|0|
170|ab__c|18|0:51:17|0:02:14|0|0:07:03|0|0:28:16|1|0:46:17|0|
171|lddlinan|18|0:51:32|0:00:58|0|0:07:14|0|0:24:08|1|0:46:32|0|
172|Dup4|18|0:51:40|0:38:17|0|0:38:09|0|0:37:57|0|0:41:40|2|
173|ddrice|18|0:51:47|0:02:41|0|0:24:41|0|0:23:04|0|0:41:47|2|
174|gua6-|18|0:51:49|0:01:32|0|0:09:44|0|0:46:49|0|0:37:01|1|
175|traumatized|18|0:52:04|0:01:01|0|0:07:04|0|0:13:09|0|0:47:04|1|
176|liulx15|18|0:52:10|0:02:50|0|0:11:22|0|0:21:14|0|0:52:10|0|
177|yangxm|18|0:52:15|0:01:39|0|0:07:05|0|0:20:29|0|0:52:15|0|
178|shakibahmed01999|18|0:52:15|0:01:56|0|0:11:11|0|0:22:24|0|0:47:15|1|
179|knarf|18|0:52:19|0:01:11|0|0:10:05|1|0:18:11|0|0:42:19|1|
180|rigAngle|18|0:52:26|0:01:23|0|0:29:09|0|0:21:02|0|0:47:26|1|
181|KLatitude|18|0:52:34|0:01:22|0|0:07:29|0|0:17:37|0|0:47:34|1|
182|a_kazakov|18|0:53:13|0:00:45|0|0:43:13|0|0:20:04|1|0:30:30|1|
183|soumyadeep_pal_21|18|0:53:26|0:35:12|0|0:35:28|0|0:36:01|0|0:48:26|1|
184|fuad720|18|0:53:47|0:01:13|0|0:04:34|0|0:20:56|1|0:48:47|0|
185|long-brogia|18|0:53:54|0:01:05|0|0:07:16|0|0:21:30|0|0:48:54|1|
186|daydayot|18|0:54:00|0:01:44|0|0:07:14|1|0:44:00|0|0:30:57|1|
187|WizardPenguin|18|0:54:07|0:01:20|0|0:15:54|1|0:30:41|0|0:49:07|0|
188|mikeac|18|0:54:12|0:01:18|0|0:08:16|1|0:18:10|0|0:49:12|0|
189|iqer|18|0:54:12|0:02:04|0|0:10:29|0|0:26:19|0|0:54:12|0|
190|h0wqNP9spX|18|0:54:29|0:45:18|0|0:54:29|0|0:41:57|0|0:24:25|0|
191|pku_erutan|18|0:54:32|0:00:43|0|0:06:24|0|0:11:05|0|0:39:32|3|
192|AC_Mikoto|18|0:54:41|0:01:51|0|0:15:27|0|0:26:16|0|0:49:41|1|
193|hululu0405|18|0:55:01|0:01:46|0|0:19:25|1|0:40:01|2|0:14:58|0|
194|mcy4ever|18|0:55:05|0:02:12|0|0:10:45|0|0:17:53|0|0:45:05|2|
195|backlight-t|18|0:55:06|0:01:09|0|0:09:05|0|0:44:06|0|0:50:06|1|
196|Ankit_132|18|0:55:06|0:02:23|0|0:13:15|0|0:27:56|0|0:55:06|0|
197|khelahoba|18|0:55:31|0:02:33|0|0:36:07|0|0:27:13|0|0:55:31|0|
198|balakrishnan_v|18|0:55:44|0:01:13|0|0:06:57|0|0:14:40|0|0:45:44|2|
199|fireee|18|0:55:57|0:01:53|0|0:14:39|0|0:23:44|0|0:50:57|1|
200|antarestrue|18|0:56:21|0:02:02|0|0:13:33|0|0:32:25|0|0:56:21|0|
201|plus2047|18|0:56:32|0:03:52|0|0:11:51|0|0:20:55|0|0:56:32|0|
202|the-chenergy|18|0:56:47|0:01:11|0|0:04:01|0|0:18:39|0|0:51:47|1|
203|elaine086|18|0:56:48|0:01:09|0|0:08:02|0|0:15:50|0|0:41:48|3|
204|b06705001|18|0:56:50|0:02:43|0|0:30:28|0|0:17:46|0|0:56:50|0|
205|mkawa222|18|0:56:54|0:02:08|0|0:06:50|0|0:14:04|0|0:56:54|0|
206|keep-fighting|18|0:57:00|0:01:17|0|0:17:31|0|0:24:31|0|0:47:00|2|
207|VimT|18|0:57:06|0:02:50|0|0:24:09|0|0:36:22|0|0:57:06|0|
208|nitin12384|18|0:57:12|0:01:18|0|0:11:01|0|0:22:49|0|0:52:12|1|
209|asiad|18|0:57:14|0:00:49|0|0:25:35|0|0:17:09|0|0:52:14|1|
210|DeepakSujay|18|0:57:32|0:01:38|0|0:39:15|0|0:15:08|0|0:57:32|0|
211|wujiang5521|18|0:57:37|0:01:34|0|0:52:37|1|0:24:33|0|0:48:08|0|
212|ga815647|18|0:57:48|0:10:41|0|0:16:40|0|0:29:26|1|0:42:48|2|
213|LarryNY|18|0:58:02|0:00:53|0|0:06:59|0|0:14:36|1|0:48:02|1|
214|gcasd001-e|18|0:58:15|0:37:10|0|0:37:36|0|0:58:15|0|0:36:08|0|
215|AlphaS|18|0:58:15|0:02:12|0|0:06:51|0|0:14:29|0|0:53:15|1|
216|lambda-20|18|0:58:16|0:01:18|0|0:10:56|0|0:26:40|0|0:53:16|1|
217|nevergiveup|18|0:58:38|0:01:16|0|0:05:41|0|0:10:36|0|0:53:38|1|
218|SpecialBeing|18|0:58:39|0:02:30|0|0:10:22|1|0:24:02|0|0:48:39|1|
219|lhaorax|18|0:58:43|0:01:12|0|0:20:35|0|0:41:34|0|0:58:43|0|
220|xieyt2000|18|0:58:52|0:01:32|0|0:11:51|1|0:21:41|1|0:48:52|0|
221|hahahiehie|18|0:58:54|0:01:50|0|0:08:28|0|0:25:29|1|0:48:54|1|
222|xxgj|18|0:58:55|0:00:52|0|0:12:41|0|0:21:37|0|0:58:55|0|
223|anu_2021|18|0:58:59|0:58:26|0|0:58:37|0|0:58:48|0|0:58:59|0|
224|cpp_template|18|0:59:03|0:00:59|0|0:04:12|0|0:12:58|1|0:44:03|2|
225|yuruiyin|18|0:59:12|0:01:35|0|0:09:38|0|0:44:23|0|0:59:12|0|
226|daukah_|18|0:59:27|0:02:29|0|0:10:13|0|0:20:45|1|0:49:27|1|
227|tvishsingh|18|0:59:31|0:04:36|0|0:16:29|0|0:31:15|0|0:59:31|0|
228|nocturne_|18|0:59:37|0:02:10|0|0:10:10|0|0:31:57|0|0:59:37|0|
229|lu-chen-chen|18|0:59:42|0:01:16|0|0:16:51|0|0:35:00|0|0:59:42|0|
230|aman01_|18|0:59:50|0:45:02|0|0:44:51|0|0:59:50|0|0:58:00|0|
231|faker-fs|18|0:59:52|0:01:22|0|0:09:24|0|0:53:34|0|0:59:52|0|
232|IAmConfessor|18|1:00:00|0:02:18|0|0:07:35|0|0:31:19|2|0:45:00|1|
233|ryanwong0127|18|1:00:02|0:01:51|0|0:12:13|0|0:33:26|0|1:00:02|0|
234|zai-lu-shang-45|18|1:00:06|0:39:12|0|0:39:25|0|0:39:32|0|0:55:06|1|
235|g129512|18|1:00:20|1:00:20|0|1:00:04|0|0:57:11|0|0:59:44|0|
236|xia_q|18|1:00:23|0:01:11|0|0:11:18|1|0:25:30|0|0:55:23|0|
237|eastar77|18|1:00:29|0:01:51|0|0:45:29|2|0:20:28|1|0:31:16|0|
238|hongyili|18|1:00:36|0:02:02|0|0:15:32|0|0:45:42|0|1:00:36|0|
239|cool-wing3gg|18|1:00:50|0:58:12|0|0:59:08|0|0:59:40|0|1:00:50|0|
240|trickster_|18|1:00:56|0:01:22|0|0:08:12|0|0:18:57|0|1:00:56|0|
241|gomamon|18|1:00:59|0:00:55|0|0:50:59|1|0:13:08|0|0:47:07|1|
242|magicpanda|18|1:01:07|0:01:34|0|0:08:05|0|0:31:34|0|1:01:07|0|
243|altairaimenov|18|1:01:16|0:02:15|0|0:09:09|0|0:28:21|0|0:56:16|1|
244|ddmike|18|1:01:23|0:01:27|0|0:06:15|0|0:24:12|0|0:56:23|1|
245|xiaochong1117|18|1:01:36|0:01:02|0|0:04:54|0|0:42:40|1|0:51:36|1|
246|Chiefis|18|1:01:49|0:20:19|0|0:25:45|0|0:38:13|0|1:01:49|0|
247|SagarAman|18|1:01:51|0:02:06|0|0:13:27|0|0:19:14|0|0:56:51|1|
248|ordinarybut|18|1:01:53|0:01:04|0|0:07:23|0|0:37:03|1|0:56:53|0|
249|megaspazz|18|1:01:54|0:01:01|0|0:04:32|0|0:08:50|0|0:51:54|2|
250|Andwerp|18|1:01:59|0:00:51|0|0:04:45|0|0:12:05|0|1:01:59|0|
251|jackle|18|1:02:01|0:01:04|0|0:07:43|0|0:30:16|2|0:52:01|0|
252|EulerianMoe|18|1:02:13|0:01:57|0|0:11:24|1|0:57:13|0|0:38:41|0|
253|bladerunner123|18|1:02:14|0:00:59|0|0:09:03|0|0:21:08|0|1:02:14|0|
