Rank Name Score Finish Time Q1 (3) Q2 (4) Q3 (5) Q4 (6)
165|tonyli00000|18|0:52:29|0:02:06|0|0:09:54|0|0:19:38|0|0:52:29|0|
166|maxxjq|18|0:52:31|0:02:12|0|0:11:31|0|0:30:58|2|0:42:31|0|
167|ericlong|18|0:53:02|0:02:03|0|0:15:46|1|0:34:18|1|0:43:02|0|
168|djqq89djq|18|0:53:08|0:05:13|0|0:22:22|1|0:35:29|1|0:43:08|0|
169|aniruddha97bhatt|18|0:53:10|0:01:57|0|0:10:17|1|0:38:10|1|0:27:42|1|
170|fried-chicken|18|0:53:11|0:01:58|0|0:07:35|0|0:21:54|0|0:53:11|0|
171|StevenDu|18|0:53:13|0:02:01|0|0:09:21|0|0:26:44|1|0:48:13|0|
172|dafeng-3|18|0:53:15|0:02:58|0|0:09:51|2|0:16:46|1|0:28:15|2|
173|Garrity|18|0:53:18|0:02:17|0|0:15:17|0|0:37:57|1|0:48:18|0|
174|Time-Limit|18|0:53:22|0:02:02|1|0:08:22|1|0:22:55|2|0:33:22|0|
175|ChaouS|18|0:53:22|0:03:22|0|0:13:30|1|0:29:22|2|0:38:22|0|
176|qwertier|18|0:53:32|0:01:48|0|0:11:52|0|0:34:35|2|0:43:32|0|
177|Chasey|18|0:53:38|0:07:45|1|0:17:35|0|0:32:35|0|0:48:38|0|
178|johnathan79717|18|0:53:43|0:01:47|0|0:06:29|0|0:24:30|2|0:43:43|0|
179|thuutin|18|0:53:44|0:02:15|0|0:16:40|2|0:43:44|0|0:28:44|0|
180|lyhshang|18|0:53:46|0:03:14|0|0:11:14|0|0:30:20|0|0:53:46|0|
181|tongtongac|18|0:53:48|0:33:01|0|0:35:40|2|0:38:48|1|0:36:03|0|
182|nishant_141077|18|0:54:16|0:02:54|0|0:21:26|1|0:34:12|0|0:49:16|0|
183|xnynzn|18|0:54:26|0:01:43|0|0:07:35|0|0:39:26|3|0:21:49|0|
184|tim_xu|18|0:54:34|0:03:59|0|0:21:31|1|0:49:34|0|0:39:32|0|
185|rajdetroja|18|0:54:36|0:02:45|0|0:11:16|2|0:18:47|0|0:44:36|0|
186|jiayindeng|18|0:54:44|0:02:05|0|0:18:46|2|0:35:10|0|0:44:44|0|
187|nakari1124|18|0:54:44|0:02:03|0|0:10:52|0|0:35:36|2|0:44:44|0|
188|penguinhacker|18|0:54:47|0:14:27|0|0:25:56|1|0:35:38|1|0:44:47|0|
189|xiaok0707|18|0:54:54|0:01:28|0|0:17:52|0|0:36:14|1|0:49:54|0|
190|jklp2|18|0:54:59|0:01:53|0|0:14:37|2|0:35:50|0|0:44:59|0|
191|tt_last|18|0:55:11|0:01:19|0|0:17:53|0|0:55:11|0|0:39:50|0|
192|sepehry|18|0:55:17|0:02:32|0|0:13:46|0|0:45:17|2|0:25:49|0|
193|Axurez|18|0:55:22|0:02:23|0|0:13:11|0|0:35:46|2|0:45:22|0|
194|VonEinzbern|18|0:55:33|0:03:16|0|0:13:57|2|0:34:48|0|0:45:33|0|
195|minghuiw|18|0:55:35|0:01:55|0|0:14:58|0|0:35:34|2|0:45:35|0|
196|Mefarnis|18|0:55:47|0:01:04|0|0:06:36|1|0:30:47|3|0:21:17|1|
197|ddmike|18|0:56:16|0:02:07|0|0:14:44|0|0:36:48|1|0:51:16|0|
198|raushan303|18|0:56:20|0:03:32|0|0:15:02|0|0:35:00|0|0:56:20|0|
199|ankur_c1|18|0:56:25|0:02:34|0|0:11:46|0|0:37:07|0|0:56:25|0|
200|sudanarya|18|0:56:27|0:26:18|0|0:24:06|2|0:41:27|0|0:12:57|1|
201|fkx1998|18|0:56:32|0:02:01|0|0:11:16|0|0:44:34|1|0:51:32|0|
202|Vk98|18|0:56:38|0:01:52|0|0:10:46|1|0:24:21|1|0:46:38|0|
203|CosmicWolf|18|0:56:39|0:02:49|0|0:24:21|1|0:51:39|0|0:33:42|0|
204|zoro_2278|18|0:56:40|0:02:06|0|0:12:40|1|0:29:22|1|0:46:40|0|
205|sun-man-man|18|0:56:47|0:01:46|0|0:13:43|1|0:34:12|1|0:46:47|0|
206|cathy009|18|0:56:50|0:03:28|0|0:12:14|0|0:34:26|0|0:51:50|1|
