Rank Name Score Finish Time Q1 (3) Q2 (4) Q3 (5) Q4 (5)
172|deltacancri|17|0:32:40|0:01:26|0|0:03:49|0|0:13:54|0|0:32:40|0|
173|mzchen|17|0:32:40|0:22:30|0|0:22:34|0|0:22:54|0|0:27:40|1|
174|D_8023_K|17|0:32:41|0:06:03|1|0:08:09|0|0:18:08|0|0:22:41|1|
175|harry68|17|0:32:51|0:01:35|0|0:06:12|0|0:17:34|2|0:22:51|0|
176|bluebear2|17|0:32:53|0:01:56|0|0:09:09|0|0:17:46|0|0:27:53|1|
177|Asagi|17|0:33:14|0:06:49|0|0:10:07|0|0:33:14|0|0:25:54|0|
178|evan_hossain|17|0:33:14|0:02:26|0|0:07:03|0|0:13:39|0|0:33:14|0|
179|robothy|17|0:33:16|0:04:08|0|0:12:32|0|0:22:03|0|0:33:16|0|
180|Jy_Tan|17|0:33:21|0:02:43|0|0:07:32|0|0:12:26|0|0:23:21|2|
181|OTTFF|17|0:33:22|0:02:08|1|0:04:05|0|0:10:27|0|0:23:22|1|
182|anhpp|17|0:33:23|0:02:00|0|0:05:12|0|0:14:31|0|0:28:23|1|
183|void_ojbk|17|0:33:25|0:01:39|0|0:04:46|0|0:18:38|1|0:23:25|1|
184|gantushig21|17|0:33:34|0:03:19|0|0:07:53|0|0:14:58|0|0:33:34|0|
185|DCXiaoBing|17|0:33:36|0:02:37|0|0:07:11|0|0:24:09|0|0:33:36|0|
186|LosingNowLosingLate|17|0:33:36|0:01:45|0|0:03:43|1|0:08:36|0|0:23:36|1|
187|changeme|17|0:33:39|0:03:46|0|0:08:21|0|0:22:59|0|0:33:39|0|
188|HowToPlayO_O|17|0:33:42|0:05:25|0|0:08:35|0|0:17:24|0|0:28:42|1|
189|ilearning99|17|0:33:51|0:03:58|0|0:11:55|0|0:22:15|0|0:33:51|0|
190|xhuaoe|17|0:34:01|0:04:43|0|0:09:15|0|0:21:16|0|0:29:01|1|
191|lozy219|17|0:34:05|0:01:53|0|0:04:05|0|0:08:09|0|0:34:05|0|
192|FunBam|17|0:34:18|0:03:01|0|0:12:20|2|0:09:56|1|0:19:18|0|
193|ho_long|17|0:34:20|0:01:54|0|0:06:41|1|0:14:53|0|0:24:20|1|
194|comonad|17|0:34:20|0:01:29|0|0:05:47|1|0:17:22|0|0:24:20|1|
195|itsing7|17|0:34:27|0:02:31|0|0:04:46|0|0:30:34|0|0:34:27|0|
196|is2ac|17|0:34:37|0:02:43|0|0:07:04|0|0:16:01|0|0:29:37|1|
197|owen2|17|0:34:38|0:01:40|0|0:07:37|0|0:17:14|0|0:29:38|1|
198|rainer13|17|0:34:38|0:03:44|0|0:07:51|0|0:16:03|0|0:34:38|0|
199|lixuanji|17|0:34:52|0:01:31|0|0:05:24|1|0:11:32|0|0:24:52|1|
200|sumandinu|17|0:34:56|0:03:01|0|0:09:59|0|0:34:56|0|0:24:58|0|
201|thedesalizes|17|0:35:00|0:03:04|0|0:09:15|0|0:22:28|0|0:35:00|0|
202|tangchuanxin|17|0:35:06|0:06:11|0|0:13:10|0|0:20:02|0|0:35:06|0|
203|moontrack|17|0:35:13|0:02:10|0|0:05:34|1|0:14:22|0|0:25:13|1|
204|sky_io|17|0:35:14|0:03:35|0|0:08:36|0|0:21:57|0|0:35:14|0|
205|peterrockwave|17|0:35:22|0:01:26|0|0:07:38|1|0:20:18|0|0:30:22|0|
206|wangogogo|17|0:35:27|0:02:32|0|0:06:16|0|0:13:27|1|0:25:27|1|
207|phenoMenAl|17|0:35:36|0:02:06|0|0:04:44|0|0:12:49|0|0:30:36|1|
208|Nigge|17|0:35:44|0:02:25|0|0:07:03|1|0:17:34|1|0:25:44|0|
209|pku_erutan|17|0:35:46|0:01:39|0|0:03:53|0|0:15:26|1|0:25:46|1|
210|FighterNan|17|0:35:50|0:03:41|0|0:07:12|0|0:22:10|1|0:30:50|0|
211|vbomedeiros|17|0:36:03|0:02:10|0|0:07:43|0|0:18:10|0|0:36:03|0|
212|HDSpray|17|0:36:08|0:14:23|1|0:17:02|0|0:31:08|0|0:25:26|0|
213|WJTung|17|0:36:16|0:01:52|0|0:05:51|0|0:10:56|0|0:36:16|0|
214|flyman3046|17|0:36:29|0:01:30|0|0:03:16|0|0:11:29|1|0:26:29|1|
215|sudhanshu_mallick|17|0:36:31|0:03:49|0|0:08:14|0|0:19:33|0|0:31:31|1|
216|darrenhp|17|0:36:34|0:02:46|0|0:06:46|0|0:12:37|0|0:26:34|2|
217|leetcode_3604|17|0:36:43|0:36:43|0|0:33:26|0|0:22:38|0|0:12:25|0|
218|hansen111|17|0:36:49|0:08:32|0|0:10:14|1|0:14:19|0|0:21:49|2|
219|leng-kong-qi-v|17|0:36:50|0:03:00|0|0:07:28|0|0:36:50|0|0:20:39|0|
220|jazzcat|17|0:36:51|0:03:25|0|0:10:32|0|0:26:40|0|0:36:51|0|
221|meus|17|0:36:53|0:02:49|0|0:08:47|1|0:15:11|1|0:21:53|1|
222|haoziweizhi|17|0:36:55|0:02:54|0|0:08:59|0|0:18:57|0|0:31:55|1|
223|hamlet_fiis|17|0:36:57|0:04:30|0|0:13:13|0|0:26:56|0|0:36:57|0|
224|noxe|17|0:37:02|0:01:30|0|0:32:02|0|0:08:00|0|0:20:43|1|
225|Emersion|17|0:37:03|0:01:52|0|0:05:47|1|0:16:45|1|0:22:03|1|
226|lee0560|17|0:37:04|0:02:58|0|0:05:08|1|0:08:44|0|0:22:04|2|
227|hzx-12|17|0:37:16|0:02:16|0|0:05:39|1|0:14:29|0|0:32:16|0|
228|wannabeaguard|17|0:37:19|0:03:23|0|0:08:53|0|0:26:32|0|0:37:19|0|
229|voidmaina|17|0:37:20|0:02:17|0|0:06:35|0|0:11:20|1|0:22:20|2|
230|azala|17|0:37:22|0:01:19|0|0:03:04|0|0:13:00|0|0:32:22|1|
231|szp14|17|0:37:28|0:01:34|0|0:07:07|0|0:12:42|0|0:37:28|0|
232|terranw|17|0:37:34|0:02:39|0|0:07:47|0|0:15:59|1|0:32:34|0|
233|donnod|17|0:37:36|0:16:39|0|0:19:19|0|0:24:16|0|0:32:36|1|
234|renascencepjw0510|17|0:37:39|0:03:50|0|0:09:56|0|0:21:25|0|0:32:39|1|
235|haiwu2020|17|0:37:40|0:07:36|0|0:12:09|0|0:24:00|0|0:32:40|1|
236|danile53|17|0:37:44|0:03:24|0|0:13:13|1|0:19:35|0|0:32:44|0|
237|Trrific|17|0:37:49|0:02:09|0|0:05:42|0|0:23:00|1|0:32:49|0|
238|hughstudy-n|17|0:37:51|0:03:46|0|0:07:16|0|0:18:54|0|0:37:51|0|
239|sohelH|17|0:37:59|0:02:00|0|0:07:09|0|0:14:28|0|0:32:59|1|
