Rank Name Score Finish Time Q1 (4) Q2 (4) Q3 (6) Q4 (6)
117|nounen|20|1:10:22|0:22:50|0|0:39:40|1|0:57:01|0|1:05:22|0|
118|Phantom233|20|1:10:26|0:04:36|0|0:23:49|0|0:32:09|0|1:00:26|2|
119|cheerforwhy|20|1:10:43|0:04:28|0|1:00:43|2|0:33:36|0|0:47:14|0|
120|nevergiveup|20|1:10:48|0:03:37|0|0:15:16|0|0:20:32|1|1:05:48|0|
121|nguyen_hoanh|20|1:11:09|0:04:32|0|0:21:34|1|0:31:27|1|0:51:09|2|
122|kodyin|20|1:11:16|0:07:38|0|0:28:44|2|0:38:12|0|1:01:16|0|
123|flyman3046|20|1:11:29|0:04:32|0|1:06:29|1|0:24:25|0|0:32:54|0|
124|Greatjian|20|1:11:29|0:07:08|3|0:17:08|0|0:35:09|1|0:41:29|2|
125|harmonyharmo|20|1:11:33|0:08:52|0|0:39:41|1|0:51:28|0|1:06:33|0|
126|LittleDS623|20|1:11:41|0:03:30|0|0:50:01|2|0:41:54|0|0:56:41|1|
127|2499370956|20|1:12:24|0:08:27|0|0:34:20|3|0:48:12|0|0:57:24|0|
128|LATTES|20|1:12:35|0:06:40|0|0:27:04|1|1:07:35|0|0:49:56|0|
129|sean.wlx|20|1:12:35|0:04:20|0|0:19:38|0|0:45:06|2|0:57:35|1|
130|tianhao2|20|1:12:40|0:07:40|0|0:22:50|0|0:30:02|0|1:02:40|2|
131|wenqiwooo|20|1:12:53|0:05:34|0|1:02:53|2|0:29:38|0|0:39:23|0|
132|Akatsuki_|20|1:13:18|0:27:50|1|0:43:19|2|0:46:47|0|0:53:18|1|
133|miss|20|1:13:30|0:05:33|0|0:21:09|1|0:27:20|0|0:48:30|4|
134|tfliao|20|1:13:41|0:04:46|1|0:31:12|3|0:38:17|0|0:48:41|1|
135|littlefriend1995|20|1:13:52|0:06:59|0|0:18:40|1|0:27:57|0|0:53:52|3|
136|blademamama|20|1:14:14|0:03:34|0|0:36:11|4|0:45:53|0|0:54:14|0|
137|Jingyuan_Zhang|20|1:15:03|0:03:20|0|0:20:30|0|0:32:47|0|1:05:03|2|
138|canliu|20|1:15:35|0:04:18|0|0:27:01|1|0:45:30|2|1:00:35|0|
